"Name","Company","State","City","Salary","Location","Url","Posted Date"
"Services Project Manager"," Siemens PLC  ","MI","Troy","$71k-$102k","Troy, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=344663&s=58&guid=000001676ba8fe859678125ff06f0076&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_23cb24e4&cb=1543699496682&jobListingId=3022687005"," 19 days ago"
"Focused Account Manager - Machine Tool Systems"," Siemens PLC  ","MI","Troy","$70k-$110k","Troy, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=344663&s=58&guid=000001676ba8fe859678125ff06f0076&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_148366e5&cb=1543699496683&jobListingId=3012277640","7 days ago"
"Vice President of Global Marketing Execution"," Siemens  ","MI","Livonia","","Livonia, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=182759&s=58&guid=000001676ba8fe859678125ff06f0076&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_fc4a4d37&cb=1543699496684&jobListingId=3040303272"," 3 days ago"
"Vehicle Thermal Management Applications Engineer - Advanced"," Siemens PLC  ","MI","Northville","$67k-$102k","Northville, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=344663&s=58&guid=000001676ba8fe859678125ff06f0076&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_d7bd4fc4&cb=1543699496685&jobListingId=3001583390"," 10 days ago"
"Director of Incubation Services"," Siemens  ","MI","Livonia","$105k-$148k","Livonia, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=182759&s=58&guid=000001676ba8fe859678125ff06f0076&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_eda6b649&cb=1543699496687&jobListingId=3040303178","7 days ago"
"Solution Architect - Applications Lifecycle Management (ALM) - Detroit, MI"," Siemens  ","MI","Southfield","$87k-$139k","Southfield, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=182759&s=58&guid=000001676ba8fe859678125ff06f0076&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_2250984c&cb=1543699496687&jobListingId=3025406482"," 17 days ago"
"Operations Supervisor Specialist - Building Automation - Plymouth, MI"," Siemens PLC  ","MI","Plymouth","$45k-$57k","Plymouth, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=344663&s=58&guid=000001676ba8fe859678125ff06f0076&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_41f1c005&cb=1543699496689&jobListingId=2952090875"," 17 days ago"
"Senior Director of Digital Platforms"," Siemens  New","MI","Livonia","","Livonia, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=182759&s=58&guid=000001676ba8fe859678125ff06f0076&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_acbe5e6e&cb=1543699496690&jobListingId=3040303111","7 days ago"
"Senior Application Sales Engineer - Intelligent Traffic Solutions"," Siemens PLC  ","MI","Ann Arbor","$81k-$103k","Ann Arbor, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=344663&s=58&guid=000001676ba8fe859678125ff06f0076&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_62ba89c5&cb=1543699496691&jobListingId=2970649148"," 4 days ago"
"Enterprise Sales Executive II (STS Simcenter Test)"," Siemens PLC  ","MI","Troy","","Troy, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=344663&s=58&guid=000001676ba8fe859678125ff06f0076&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_e233d761&cb=1543699496692&jobListingId=3042599198"," 1 day ago"
